set_,Background,Animals,Asphalt,Cat's eyes,Cracks,Dirt road,Ego,Hard sand,Markings,Obstacles,People,Potholes,Retaining walls,Soft sand,Speed bump,Vehicles,Wet sand,model,train,eval
val,97.8,0.0,91.4,24.4,10.5,82.3,93.5,68.9,72.7,6.2,22.6,45.9,71.8,52.3,24.5,86.5,43.5,deeplab,2048,2048
train,99.5,0.0,96.9,67.4,56.1,97.9,98.0,98.5,81.1,83.0,86.4,87.2,91.7,95.9,86.8,96.6,95.4,deeplab,2048,2048
val,97.2,0.0,86.6,0.0,0.0,80.8,92.4,68.7,41.6,8.2,1.6,40.3,49.3,47.4,0.0,64.7,39.2,hrnet,256,256
train,99.9,59.9,96.3,15.5,24.1,99.3,99.7,99.5,52.2,77.3,81.2,87.8,82.0,98.6,89.6,97.3,97.8,hrnet,256,256
val,95.9,0.0,82.4,0.0,0.0,74.7,67.6,53.7,44.4,0.0,1.7,12.4,37.4,40.4,0.0,66.0,22.4,hrnet,256,512
train,97.0,0.0,85.3,0.6,0.0,77.7,76.8,87.8,43.4,6.3,12.6,4.7,44.3,49.6,17.2,63.8,43.8,hrnet,256,512
val,86.8,0.0,45.3,0.0,0.0,56.2,19.5,27.5,23.2,0.0,1.2,1.9,13.7,25.4,0.0,35.4,6.7,hrnet,256,1024
train,88.2,0.0,55.8,0.0,0.0,57.9,22.6,31.7,27.2,1.1,2.6,0.6,15.9,28.2,0.0,31.3,16.1,hrnet,256,1024
val,81.9,0.0,24.0,0.0,0.0,40.8,8.8,16.3,10.8,0.0,0.9,0.1,6.1,18.6,0.0,21.5,3.8,hrnet,256,1536
train,82.0,0.0,31.6,0.0,0.0,38.8,9.2,16.8,12.8,0.2,0.9,0.1,8.6,19.8,0.0,17.9,9.7,hrnet,256,1536
val,79.4,0.0,14.5,0.0,0.0,30.4,5.9,11.4,5.4,0.0,0.3,0.0,3.3,12.7,0.0,14.9,2.2,hrnet,256,2048
train,78.9,0.0,19.7,0.0,0.0,28.5,5.7,10.6,6.5,0.1,0.4,0.0,4.3,14.5,0.0,10.0,6.4,hrnet,256,2048
val,97.3,0.0,84.5,0.0,0.0,77.7,90.3,64.9,42.4,7.9,7.3,36.4,64.5,35.6,0.0,75.4,42.2,hrnet,512,256
train,98.2,0.0,89.3,0.2,0.0,86.2,94.3,94.0,42.5,42.6,34.3,42.0,60.3,68.8,71.2,80.1,72.9,hrnet,512,256
val,97.9,0.0,89.3,2.8,0.0,82.5,95.1,65.4,61.9,0.0,34.6,48.6,73.7,49.8,0.0,88.2,42.2,hrnet,512,512
train,99.5,52.7,96.0,11.1,9.2,97.8,98.4,98.0,66.9,74.6,80.3,78.5,84.7,95.2,93.3,95.4,93.6,hrnet,512,512
val,96.5,2.4,86.0,2.0,0.0,78.6,75.1,60.2,56.7,10.2,8.4,17.8,38.8,40.9,3.4,78.7,33.5,hrnet,512,1024
train,97.8,8.5,88.8,5.4,0.0,84.4,82.1,88.1,61.2,26.4,45.6,17.9,60.0,66.4,56.3,82.4,69.3,hrnet,512,1024
val,92.4,0.0,71.3,0.9,0.0,61.9,46.9,51.8,44.3,1.5,8.4,2.9,15.5,27.0,0.8,63.3,25.1,hrnet,512,1536
train,93.2,0.0,74.6,1.7,0.0,65.7,45.8,50.6,49.1,12.1,20.0,3.7,32.5,40.9,20.2,58.6,47.1,hrnet,512,1536
val,87.9,0.0,43.0,0.8,0.0,43.1,31.9,41.3,28.5,0.5,4.9,1.0,9.8,20.2,0.3,48.5,14.5,hrnet,512,2048
train,88.7,0.0,49.7,0.6,0.0,46.3,27.7,31.1,32.9,7.7,9.3,1.0,19.5,31.2,6.3,41.6,33.0,hrnet,512,2048
val,95.3,0.0,70.4,0.0,0.0,65.0,37.8,27.6,35.6,0.0,19.3,0.0,39.3,14.9,0.0,62.9,31.9,hrnet,1024,256
train,96.1,0.0,77.0,0.0,0.0,71.4,60.7,65.7,32.2,7.5,17.2,0.0,39.0,36.2,0.5,65.3,41.8,hrnet,1024,256
val,97.8,0.0,88.4,8.8,1.5,81.6,90.9,65.2,56.6,2.0,18.7,50.0,76.3,46.8,0.0,84.2,47.3,hrnet,1024,512
train,98.7,35.8,93.2,19.0,4.9,90.4,95.7,93.9,60.5,51.0,62.7,57.7,73.2,77.2,73.2,88.3,78.5,hrnet,1024,512
val,97.9,0.0,90.3,17.0,0.0,82.8,95.9,68.3,70.9,6.6,23.3,42.7,76.4,54.7,0.9,87.7,44.6,hrnet,1024,1024
train,99.7,78.7,97.4,48.8,46.8,98.5,98.9,98.8,81.7,87.0,91.0,88.9,92.7,96.9,94.9,97.6,96.2,hrnet,1024,1024
val,97.6,31.7,89.4,9.6,0.8,81.7,91.8,66.9,67.3,8.1,9.6,32.2,58.3,51.8,5.4,81.8,37.6,hrnet,1024,1536
train,99.1,55.8,95.8,27.5,15.5,93.9,97.7,96.2,75.0,70.4,80.8,60.5,82.1,85.8,89.1,93.9,88.6,hrnet,1024,1536
val,96.5,29.7,84.8,8.7,0.0,76.3,81.6,66.1,56.9,7.6,6.2,25.0,41.0,39.9,2.4,72.8,32.1,hrnet,1024,2048
train,97.9,24.2,90.8,12.5,3.4,81.1,88.9,92.2,64.7,31.6,47.7,23.0,62.3,62.0,72.0,76.8,73.0,hrnet,1024,2048
val,92.4,0.0,67.3,0.0,0.0,54.6,32.7,26.7,33.5,0.0,5.6,4.7,24.8,7.3,0.0,60.9,28.6,hrnet,1536,256
train,92.1,0.0,72.1,0.4,0.0,62.3,49.3,50.3,31.2,3.7,27.2,1.2,20.1,19.2,0.0,54.7,23.1,hrnet,1536,256
val,97.3,0.0,85.1,7.9,0.0,76.8,86.3,62.9,52.9,0.1,17.0,52.1,66.3,25.9,0.0,83.1,37.6,hrnet,1536,512
train,97.8,0.0,88.3,19.1,0.0,81.6,91.3,91.1,53.6,32.3,55.7,32.0,65.8,55.1,51.3,83.0,64.0,hrnet,1536,512
val,97.9,0.0,90.1,17.2,0.9,83.0,95.7,66.3,69.2,10.2,41.0,53.3,78.8,48.3,0.7,89.6,42.5,hrnet,1536,1024
train,99.3,61.9,96.3,43.6,34.9,96.1,98.2,97.0,76.1,73.4,82.4,77.3,86.8,90.4,91.0,94.2,89.8,hrnet,1536,1024
val,97.9,6.2,90.6,19.4,3.5,83.3,96.2,65.6,73.0,7.9,18.6,47.4,69.5,51.4,6.4,90.1,38.5,hrnet,1536,1536
train,99.7,84.9,97.6,62.6,61.5,98.6,98.9,98.8,85.0,90.7,92.8,87.6,94.0,96.9,95.9,97.9,96.5,hrnet,1536,1536
val,97.7,29.5,89.9,18.7,3.1,82.3,95.2,64.8,69.3,6.1,10.5,38.8,54.3,52.3,7.8,87.9,35.0,hrnet,1536,2048
train,99.4,76.3,96.7,45.6,42.3,96.6,97.6,97.8,79.6,83.3,86.3,73.1,87.8,92.1,95.8,96.2,92.6,hrnet,1536,2048
val,92.0,0.0,60.7,0.0,0.0,54.2,20.2,23.8,22.4,0.0,3.4,0.0,30.1,2.7,0.0,22.7,4.5,hrnet,2048,256
train,91.5,0.0,70.8,0.0,0.0,56.4,41.3,69.8,18.7,0.2,14.0,0.0,24.2,28.0,0.0,60.3,14.4,hrnet,2048,256
val,96.8,0.0,79.1,2.3,0.0,70.9,73.4,65.3,46.7,0.0,37.0,25.3,64.1,14.6,0.0,81.0,48.5,hrnet,2048,512
train,97.1,0.0,81.4,5.1,0.0,73.7,81.1,87.3,44.4,9.0,54.3,7.9,60.0,35.3,0.0,79.8,52.5,hrnet,2048,512
val,97.8,0.0,89.7,20.3,1.5,83.0,94.4,73.1,67.0,6.2,48.0,40.9,75.6,50.7,1.3,88.8,53.0,hrnet,2048,1024
train,98.7,49.2,94.4,26.0,14.5,89.8,97.0,93.6,68.4,46.2,67.9,53.1,80.4,74.3,65.1,90.2,78.2,hrnet,2048,1024
val,98.0,0.0,91.6,22.3,5.5,84.5,95.6,69.6,72.6,9.5,48.3,44.7,74.8,55.1,13.4,89.3,48.9,hrnet,2048,1536
train,99.4,72.0,96.7,41.8,43.8,96.9,98.4,97.1,78.3,78.5,82.4,81.9,88.7,92.5,88.7,95.9,90.1,hrnet,2048,1536
val,97.9,0.0,91.2,22.6,8.0,84.3,94.7,68.8,72.9,9.4,31.9,38.2,66.9,55.7,10.8,89.2,45.6,hrnet,2048,2048
train,99.6,78.4,97.1,54.5,49.6,98.1,98.0,98.2,81.1,85.5,89.4,85.5,91.9,95.9,92.2,97.3,94.7,hrnet,2048,2048
val,97.0,0.0,85.3,0.0,0.0,80.4,89.1,66.6,25.6,0.0,6.2,17.3,46.3,52.2,0.0,69.0,34.9,pplite,256,256
train,98.2,0.0,89.6,0.0,0.0,92.5,95.5,94.4,24.1,20.1,52.2,47.9,44.9,84.9,72.4,80.4,74.8,pplite,256,256
val,95.0,0.0,80.0,0.0,0.0,64.7,70.5,55.9,16.6,0.0,4.0,0.0,20.2,29.0,0.0,60.6,21.1,pplite,256,512
train,96.5,0.0,82.5,0.0,0.0,74.1,78.6,76.8,16.2,5.6,29.2,0.7,33.9,51.4,7.8,65.6,48.8,pplite,256,512
val,87.7,0.0,38.0,0.0,0.0,30.1,23.7,30.0,4.3,0.0,2.2,0.0,5.1,14.9,0.0,35.9,11.4,pplite,256,1024
train,88.6,0.0,42.5,0.0,0.0,34.2,24.9,29.0,4.0,0.4,3.1,0.0,11.1,25.4,0.0,33.5,16.0,pplite,256,1024
val,84.2,0.0,17.7,0.0,0.0,17.4,12.8,19.1,1.2,0.0,1.4,0.0,1.5,12.8,0.0,25.7,8.3,pplite,256,1536
train,84.7,0.0,21.3,0.0,0.0,19.4,12.4,17.2,1.3,0.1,1.1,0.0,4.1,22.3,0.0,20.8,12.9,pplite,256,1536
val,82.3,0.0,9.2,0.0,0.0,13.4,7.9,14.2,0.4,0.0,0.2,0.0,0.3,12.0,0.0,18.8,6.0,pplite,256,2048
train,82.7,0.0,11.7,0.0,0.0,13.5,7.8,12.2,0.5,0.0,0.3,0.0,1.7,21.8,0.0,13.2,10.7,pplite,256,2048
val,96.6,0.0,81.0,0.0,0.0,73.3,85.3,52.9,29.3,0.0,5.4,23.9,47.3,42.1,0.0,68.3,34.7,pplite,512,256
train,97.4,0.0,86.2,0.0,0.0,84.3,90.7,89.9,25.9,23.8,41.5,27.0,42.1,64.8,54.5,73.4,53.4,pplite,512,256
val,97.5,0.0,86.2,0.0,0.0,82.0,93.0,67.2,43.1,0.0,8.6,39.8,54.5,55.8,0.0,82.0,36.9,pplite,512,512
train,98.9,0.0,93.2,0.0,0.0,95.6,97.5,95.8,44.7,51.2,68.0,64.5,68.4,90.2,91.2,89.1,84.5,pplite,512,512
val,95.8,0.0,81.4,0.0,0.0,69.7,78.2,73.9,45.3,0.0,8.8,7.6,26.7,43.1,0.0,78.5,27.2,pplite,512,1024
train,97.1,0.0,86.0,0.0,0.0,81.8,81.7,90.1,47.1,26.6,45.2,8.0,45.4,65.6,63.2,83.4,57.1,pplite,512,1024
val,91.0,0.0,58.8,0.0,0.0,41.5,51.2,60.3,27.5,0.0,7.5,3.2,12.6,21.4,0.8,62.0,18.2,pplite,512,1536
train,92.3,0.0,66.4,0.0,0.0,49.3,52.8,56.5,30.7,12.6,17.6,1.3,20.4,37.2,17.1,62.3,39.4,pplite,512,1536
val,87.6,0.0,38.8,0.0,0.0,23.1,32.0,41.1,15.1,0.0,2.2,1.4,4.5,15.2,0.1,51.5,12.3,pplite,512,2048
train,89.0,0.0,46.3,0.0,0.0,28.9,32.7,36.8,17.4,4.6,4.3,0.2,10.4,27.7,0.0,45.6,29.3,pplite,512,2048
val,95.1,0.0,74.2,0.0,0.0,57.2,54.3,3.1,22.2,0.0,7.8,0.0,27.1,16.6,0.0,65.9,27.2,pplite,1024,256
train,95.3,0.0,76.9,0.0,0.0,65.6,63.9,15.2,16.8,0.0,35.0,0.0,28.2,29.0,34.3,68.4,11.9,pplite,1024,256
val,97.3,0.0,86.6,0.0,0.0,76.7,88.9,53.0,43.7,0.0,5.9,36.0,61.1,41.2,0.0,82.5,39.1,pplite,1024,512
train,98.2,18.5,91.5,3.5,3.9,87.6,93.1,92.6,43.9,34.8,59.8,39.1,63.5,69.8,63.7,85.2,70.2,pplite,1024,512
val,97.4,18.0,89.5,9.0,0.0,82.3,89.9,63.3,60.3,0.0,14.9,46.0,59.8,50.1,4.7,85.5,39.7,pplite,1024,1024
train,99.0,68.6,95.7,31.2,33.1,97.0,93.1,97.5,66.5,70.4,80.1,77.0,83.3,93.0,82.9,94.4,91.7,pplite,1024,1024
val,96.5,19.8,86.9,12.8,0.0,78.0,86.1,66.9,57.3,0.0,12.1,20.7,41.0,47.4,6.6,77.9,35.8,pplite,1024,1536
train,98.4,55.8,94.0,22.8,18.8,92.3,91.1,95.7,64.7,53.9,78.1,37.9,72.7,83.2,76.1,92.0,82.8,pplite,1024,1536
val,94.0,16.8,76.2,6.5,0.0,69.0,69.3,62.4,50.2,0.0,10.7,13.4,26.1,35.6,4.7,70.2,25.2,pplite,1024,2048
train,95.9,30.4,85.9,8.0,3.6,78.2,75.3,77.8,55.9,12.5,56.7,9.9,45.0,59.1,41.6,84.9,65.5,pplite,1024,2048
val,92.7,0.0,66.7,0.0,0.0,53.2,42.9,1.9,21.4,0.0,7.3,0.0,17.8,6.0,0.0,51.5,6.9,pplite,1536,256
train,92.4,0.0,69.2,0.0,0.0,52.3,54.6,4.4,15.5,0.0,31.5,0.0,11.0,21.6,0.0,63.2,3.1,pplite,1536,256
val,94.1,0.0,82.6,0.0,0.0,72.7,54.4,48.5,42.6,0.0,11.1,25.9,58.1,33.0,0.0,81.8,42.4,pplite,1536,512
train,95.3,0.0,88.9,4.0,0.0,82.3,67.7,88.3,40.4,34.2,57.6,11.3,55.2,56.4,50.2,81.8,58.4,pplite,1536,512
val,94.5,0.0,88.7,11.4,0.0,82.0,55.4,63.3,62.4,6.4,29.0,50.9,67.4,49.6,0.0,85.6,40.0,pplite,1536,1024
train,95.8,60.6,94.8,27.5,20.7,94.3,62.4,95.5,64.5,66.6,75.9,71.5,76.2,87.0,86.5,91.4,82.9,pplite,1536,1024
val,95.2,17.7,90.5,20.8,1.0,82.6,60.0,64.0,68.0,8.7,15.0,48.1,58.7,49.8,5.0,84.5,40.1,pplite,1536,1536
train,96.7,74.7,96.3,46.9,43.0,97.1,66.6,97.4,74.3,78.6,85.9,81.1,86.6,93.6,92.9,94.9,91.3,pplite,1536,1536
val,95.4,36.1,89.4,21.3,4.3,81.0,63.1,63.4,63.8,0.6,16.4,45.6,43.4,50.1,6.2,81.1,38.3,pplite,1536,2048
train,96.9,70.7,95.6,37.9,39.9,95.1,70.0,96.5,72.7,75.5,84.8,62.8,83.4,89.4,92.2,93.7,86.4,pplite,1536,2048
val,91.1,0.0,65.9,0.0,0.0,54.0,37.5,0.0,16.1,0.0,6.1,0.0,14.2,0.0,0.0,18.3,0.0,pplite,2048,256
train,91.3,0.0,65.3,0.0,0.0,59.6,52.7,3.5,14.9,0.0,26.0,0.0,9.9,8.7,0.0,25.6,4.5,pplite,2048,256
val,96.2,0.0,80.4,0.0,0.0,67.7,76.1,31.6,38.2,0.0,8.5,7.2,55.2,13.2,0.0,67.8,20.4,pplite,2048,512
train,96.7,0.0,85.7,0.0,0.0,73.6,85.5,73.7,38.1,4.1,47.4,1.7,53.1,34.2,35.8,75.3,40.1,pplite,2048,512
val,97.4,0.0,87.9,3.8,0.0,81.8,92.3,61.5,58.8,11.1,10.6,47.8,70.8,41.8,0.0,87.2,37.3,pplite,2048,1024
train,98.4,34.9,93.5,21.0,7.2,88.7,96.7,93.6,60.5,38.8,64.7,61.3,72.7,72.4,75.0,88.6,73.5,pplite,2048,1024
val,97.7,0.0,89.5,13.3,3.7,83.1,94.5,63.3,67.4,18.0,13.6,49.9,68.6,50.3,0.0,85.3,39.2,pplite,2048,1536
train,99.1,70.0,95.9,41.4,38.5,95.7,98.0,96.7,73.0,71.4,80.0,78.6,84.8,90.2,88.3,93.4,86.8,pplite,2048,1536
val,97.7,0.5,89.4,18.3,9.2,81.8,93.3,64.7,70.0,11.4,14.9,46.9,63.9,51.2,0.1,83.5,39.1,pplite,2048,2048
train,99.4,75.3,96.6,55.1,50.4,97.2,97.8,97.6,77.8,78.1,85.8,80.8,89.6,93.9,93.0,95.3,91.7,pplite,2048,2048
